,date,consumer_sentiment,consumer_change
273,2000-01-01,112.0,
272,2000-02-01,111.3,-0.006249999999999978
271,2000-03-01,107.1,-0.037735849056603765
270,2000-04-01,109.2,0.019607843137255054
269,2000-05-01,110.7,0.013736263736263687
268,2000-06-01,106.4,-0.038843721770551065
267,2000-07-01,108.3,0.017857142857142794
266,2000-08-01,107.3,-0.009233610341643606
265,2000-09-01,106.8,-0.004659832246039164
264,2000-10-01,105.8,-0.009363295880149836
263,2000-11-01,107.6,0.017013232514177634
262,2000-12-01,98.4,-0.08550185873605942
261,2001-01-01,94.7,-0.03760162601626016
260,2001-02-01,90.6,-0.043294614572333745
259,2001-03-01,91.5,0.009933774834437248
258,2001-04-01,88.4,-0.033879781420764976
257,2001-05-01,92.0,0.040723981900452344
256,2001-06-01,92.6,0.006521739130434634
255,2001-07-01,92.4,-0.002159827213822796
254,2001-08-01,91.5,-0.009740259740259827
253,2001-09-01,81.8,-0.10601092896174868
252,2001-10-01,82.7,0.011002444987775029
251,2001-11-01,83.9,0.0145102781136639
250,2001-12-01,88.8,0.058402860548271596
249,2002-01-01,93.0,0.04729729729729737
248,2002-02-01,90.7,-0.02473118279569886
247,2002-03-01,95.7,0.055126791620727644
246,2002-04-01,93.0,-0.028213166144200663
245,2002-05-01,96.9,0.041935483870967794
244,2002-06-01,92.4,-0.04643962848297212
243,2002-07-01,88.1,-0.046536796536796654
242,2002-08-01,87.6,-0.005675368898978461
241,2002-09-01,86.1,-0.017123287671232834
240,2002-10-01,80.6,-0.06387921022067367
239,2002-11-01,84.2,0.04466501240694809
238,2002-12-01,86.7,0.029691211401425166
237,2003-01-01,82.4,-0.049596309111880066
236,2003-02-01,79.9,-0.03033980582524276
235,2003-03-01,77.6,-0.028785982478097716
234,2003-04-01,86.0,0.10824742268041243
233,2003-05-01,92.1,0.07093023255813957
232,2003-06-01,89.7,-0.026058631921824005
231,2003-07-01,90.9,0.013377926421404673
230,2003-08-01,89.3,-0.017601760176017667
229,2003-09-01,87.7,-0.017917133258678497
228,2003-10-01,89.6,0.021664766248574496
227,2003-11-01,93.7,0.0457589285714286
226,2003-12-01,92.6,-0.011739594450373647
225,2004-01-01,103.8,0.12095032397408212
224,2004-02-01,94.4,-0.09055876685934483
223,2004-03-01,95.8,0.01483050847457612
222,2004-04-01,94.2,-0.01670146137787054
221,2004-05-01,90.2,-0.0424628450106157
220,2004-06-01,95.6,0.05986696230598665
219,2004-07-01,96.7,0.011506276150627714
218,2004-08-01,95.9,-0.008273009307135482
217,2004-09-01,94.2,-0.017726798748696537
216,2004-10-01,91.7,-0.026539278131634814
215,2004-11-01,92.8,0.011995637949836269
214,2004-12-01,97.1,0.0463362068965516
213,2005-01-01,95.5,-0.016477857878475777
212,2005-02-01,94.1,-0.01465968586387445
211,2005-03-01,92.6,-0.015940488841657774
210,2005-04-01,87.7,-0.05291576673866083
209,2005-05-01,86.9,-0.009122006841505104
208,2005-06-01,96.0,0.10471806674338313
207,2005-07-01,96.5,0.005208333333333259
206,2005-08-01,89.1,-0.0766839378238342
205,2005-09-01,76.9,-0.1369248035914702
204,2005-10-01,74.2,-0.035110533159948054
203,2005-11-01,81.6,0.09973045822102411
202,2005-12-01,91.5,0.12132352941176472
201,2006-01-01,91.2,-0.003278688524590123
200,2006-02-01,86.7,-0.049342105263157854
199,2006-03-01,88.9,0.025374855824682907
198,2006-04-01,87.4,-0.01687289088863897
197,2006-05-01,79.1,-0.09496567505720832
196,2006-06-01,84.9,0.07332490518331247
195,2006-07-01,84.7,-0.002355712603062443
194,2006-08-01,82.0,-0.031877213695395534
193,2006-09-01,85.4,0.04146341463414638
192,2006-10-01,93.6,0.09601873536299754
191,2006-11-01,92.1,-0.01602564102564108
190,2006-12-01,91.7,-0.004343105320303908
189,2007-01-01,96.9,0.05670665212649939
188,2007-02-01,91.3,-0.057791537667698734
187,2007-03-01,88.4,-0.03176341730558585
186,2007-04-01,87.1,-0.014705882352941346
185,2007-05-01,88.3,0.013777267508610747
184,2007-06-01,85.3,-0.033975084937712396
183,2007-07-01,90.4,0.05978898007034017
182,2007-08-01,83.4,-0.07743362831858402
181,2007-09-01,83.4,0.0
180,2007-10-01,80.9,-0.029976019184652314
179,2007-11-01,76.1,-0.05933250927070466
178,2007-12-01,75.5,-0.007884362680683266
177,2008-01-01,78.4,0.03841059602649022
176,2008-02-01,70.8,-0.09693877551020413
175,2008-03-01,69.5,-0.01836158192090387
174,2008-04-01,62.6,-0.09928057553956837
173,2008-05-01,59.8,-0.04472843450479236
172,2008-06-01,56.4,-0.05685618729096986
171,2008-07-01,61.2,0.08510638297872353
170,2008-08-01,63.0,0.02941176470588225
169,2008-09-01,70.3,0.1158730158730159
168,2008-10-01,57.6,-0.1806543385490753
167,2008-11-01,55.3,-0.03993055555555558
166,2008-12-01,60.1,0.08679927667269438
165,2009-01-01,61.2,0.01830282861896837
164,2009-02-01,56.3,-0.08006535947712423
163,2009-03-01,57.3,0.017761989342806483
162,2009-04-01,65.1,0.1361256544502618
161,2009-05-01,68.7,0.05529953917050712
160,2009-06-01,70.8,0.03056768558951961
159,2009-07-01,66.0,-0.06779661016949146
158,2009-08-01,65.7,-0.004545454545454519
157,2009-09-01,73.5,0.1187214611872145
156,2009-10-01,70.6,-0.039455782312925236
155,2009-11-01,67.4,-0.045325779036826996
154,2009-12-01,72.5,0.07566765578635004
153,2010-01-01,74.4,0.026206896551724146
152,2010-02-01,73.6,-0.010752688172043112
151,2010-03-01,73.6,0.0
150,2010-04-01,72.2,-0.0190217391304347
149,2010-05-01,73.6,0.01939058171745134
148,2010-06-01,76.0,0.03260869565217406
147,2010-07-01,67.8,-0.10789473684210527
146,2010-08-01,68.9,0.016224188790560534
145,2010-09-01,68.2,-0.010159651669085723
144,2010-10-01,67.7,-0.007331378299120228
143,2010-11-01,71.6,0.05760709010339715
142,2010-12-01,74.5,0.04050279329608952
141,2011-01-01,74.2,-0.00402684563758382
140,2011-02-01,77.5,0.04447439353099725
139,2011-03-01,67.5,-0.12903225806451613
138,2011-04-01,69.8,0.03407407407407392
137,2011-05-01,74.3,0.0644699140401146
136,2011-06-01,71.5,-0.037685060565275874
135,2011-07-01,63.7,-0.10909090909090902
134,2011-08-01,55.8,-0.12401883830455263
133,2011-09-01,59.5,0.06630824372759858
132,2011-10-01,60.8,0.02184873949579824
131,2011-11-01,63.7,0.047697368421052655
130,2011-12-01,69.9,0.09733124018838302
129,2012-01-01,75.0,0.07296137339055786
128,2012-02-01,75.3,0.0040000000000000036
127,2012-03-01,76.2,0.01195219123505975
126,2012-04-01,76.4,0.002624671916010568
125,2012-05-01,79.3,0.03795811518324599
124,2012-06-01,73.2,-0.07692307692307687
123,2012-07-01,72.3,-0.012295081967213184
122,2012-08-01,74.3,0.027662517289073207
121,2012-09-01,78.3,0.053835800807537026
120,2012-10-01,82.6,0.054916985951468655
119,2012-11-01,82.7,0.001210653753026758
118,2012-12-01,72.9,-0.1185006045949214
117,2013-01-01,73.8,0.012345679012345512
116,2013-02-01,77.6,0.051490514905149
115,2013-03-01,78.6,0.012886597938144284
114,2013-04-01,76.4,-0.027989821882951516
113,2013-05-01,84.5,0.1060209424083769
112,2013-06-01,84.1,-0.004733727810650956
111,2013-07-01,85.1,0.01189060642092743
110,2013-08-01,82.1,-0.03525264394829608
109,2013-09-01,77.5,-0.0560292326431181
108,2013-10-01,73.2,-0.05548387096774188
107,2013-11-01,75.1,0.025956284153005438
106,2013-12-01,82.5,0.09853528628495356
105,2014-01-01,81.2,-0.015757575757575748
104,2014-02-01,81.6,0.004926108374384119
103,2014-03-01,80.0,-0.019607843137254832
102,2014-04-01,84.1,0.05125000000000002
101,2014-05-01,81.9,-0.026159334126040323
100,2014-06-01,82.5,0.0073260073260073
99,2014-07-01,81.8,-0.00848484848484854
98,2014-08-01,82.5,0.008557457212714059
97,2014-09-01,84.6,0.025454545454545396
96,2014-10-01,86.9,0.027186761229314627
95,2014-11-01,88.8,0.021864211737629313
94,2014-12-01,93.6,0.054054054054053946
93,2015-01-01,98.1,0.04807692307692313
92,2015-02-01,95.4,-0.02752293577981635
91,2015-03-01,93.0,-0.02515723270440262
90,2015-04-01,95.9,0.031182795698924792
89,2015-05-01,90.7,-0.05422314911366011
88,2015-06-01,96.1,0.05953693495038581
87,2015-07-01,93.1,-0.031217481789802326
86,2015-08-01,91.9,-0.012889366272824776
85,2015-09-01,87.2,-0.05114254624591952
84,2015-10-01,90.0,0.032110091743119185
83,2015-11-01,91.3,0.014444444444444482
82,2015-12-01,92.6,0.014238773274917849
81,2016-01-01,92.0,-0.00647948164146861
80,2016-02-01,91.7,-0.003260869565217317
79,2016-03-01,91.0,-0.007633587786259555
78,2016-04-01,89.0,-0.02197802197802201
77,2016-05-01,94.7,0.06404494382022485
76,2016-06-01,93.5,-0.012671594508975703
75,2016-07-01,90.0,-0.03743315508021394
74,2016-08-01,89.8,-0.0022222222222222365
73,2016-09-01,91.2,0.015590200445434466
72,2016-10-01,87.2,-0.04385964912280704
71,2016-11-01,93.8,0.07568807339449535
70,2016-12-01,98.2,0.046908315565032055
69,2017-01-01,98.5,0.003054989816700493
68,2017-02-01,96.3,-0.022335025380710638
67,2017-03-01,96.9,0.006230529595015577
66,2017-04-01,97.0,0.0010319917440659854
65,2017-05-01,97.1,0.0010309278350515427
64,2017-06-01,95.0,-0.02162718846549938
63,2017-07-01,93.4,-0.01684210526315788
62,2017-08-01,96.8,0.03640256959314758
61,2017-09-01,95.1,-0.017561983471074405
60,2017-10-01,100.7,0.05888538380651953
59,2017-11-01,98.5,-0.021847070506454846
58,2017-12-01,95.9,-0.02639593908629434
57,2018-01-01,95.7,-0.002085505735140769
56,2018-02-01,99.7,0.04179728317659359
55,2018-03-01,101.4,0.01705115346038122
54,2018-04-01,98.8,-0.025641025641025772
53,2018-05-01,98.0,-0.0080971659919028
52,2018-06-01,98.2,0.0020408163265306367
51,2018-07-01,97.9,-0.003054989816700604
50,2018-08-01,96.2,-0.01736465781409602
49,2018-09-01,100.1,0.04054054054054035
48,2018-10-01,98.6,-0.014985014985015033
47,2018-11-01,97.5,-0.011156186612576002
46,2018-12-01,98.3,0.008205128205128087
45,2019-01-01,91.2,-0.07222787385554419
44,2019-02-01,93.8,0.028508771929824483
43,2019-03-01,98.4,0.049040511727078906
42,2019-04-01,97.2,-0.012195121951219523
41,2019-05-01,100.0,0.028806584362139898
40,2019-06-01,98.2,-0.018000000000000016
39,2019-07-01,98.4,0.0020366598778003286
38,2019-08-01,89.8,-0.08739837398373995
37,2019-09-01,93.2,0.03786191536748329
36,2019-10-01,95.5,0.02467811158798283
35,2019-11-01,96.8,0.013612565445026092
34,2019-12-01,99.3,0.025826446280991844
33,2020-01-01,99.8,0.0050352467270895485
32,2020-02-01,101.0,0.012024048096192397
31,2020-03-01,89.1,-0.11782178217821793
30,2020-04-01,71.8,-0.1941638608305275
29,2020-05-01,72.3,0.0069637883008355494
28,2020-06-01,78.1,0.08022130013831252
27,2020-07-01,72.5,-0.0717029449423815
26,2020-08-01,74.1,0.022068965517241246
25,2020-09-01,80.4,0.08502024291498
24,2020-10-01,81.8,0.01741293532338295
23,2020-11-01,76.9,-0.059902200488997415
22,2020-12-01,80.7,0.04941482444733425
21,2021-01-01,79.0,-0.02106567534076831
20,2021-02-01,76.8,-0.027848101265822822
19,2021-03-01,84.9,0.10546875000000022
18,2021-04-01,88.3,0.04004711425206109
17,2021-05-01,82.9,-0.06115515288788209
16,2021-06-01,85.5,0.031363088057901
15,2021-07-01,81.2,-0.05029239766081872
14,2021-08-01,70.3,-0.13423645320197053
13,2021-09-01,72.8,0.03556187766714092
12,2021-10-01,71.7,-0.015109890109890056
11,2021-11-01,67.4,-0.05997210599721059
10,2021-12-01,70.6,0.047477744807121525
9,2022-01-01,67.2,-0.048158640226628746
8,2022-02-01,62.8,-0.06547619047619058
7,2022-03-01,59.4,-0.05414012738853502
6,2022-04-01,65.2,0.09764309764309775
5,2022-05-01,58.4,-0.10429447852760743
4,2022-06-01,50.0,-0.14383561643835618
3,2022-07-01,51.5,0.030000000000000027
2,2022-08-01,58.2,0.1300970873786409
1,2022-09-01,58.6,0.0068728522336769515
0,2022-10-01,59.9,0.022184300341296925
