,date,retail_sales
273,2000-01-01,213709
272,2000-02-01,227087
271,2000-03-01,253717
270,2000-04-01,239051
269,2000-05-01,257581
268,2000-06-01,255066
267,2000-07-01,244445
266,2000-08-01,257487
265,2000-09-01,243624
264,2000-10-01,245167
263,2000-11-01,252145
262,2000-12-01,294197
261,2001-01-01,226791
260,2001-02-01,223971
259,2001-03-01,253439
258,2001-04-01,249062
257,2001-05-01,268658
256,2001-06-01,260315
255,2001-07-01,251504
254,2001-08-01,266460
253,2001-09-01,236210
252,2001-10-01,265188
251,2001-11-01,262004
250,2001-12-01,298666
249,2002-01-01,230546
248,2002-02-01,228084
247,2002-03-01,257133
246,2002-04-01,257357
245,2002-05-01,271682
244,2002-06-01,260385
243,2002-07-01,266795
242,2002-08-01,277716
241,2002-09-01,246350
240,2002-10-01,259945
239,2002-11-01,263738
238,2002-12-01,308821
237,2003-01-01,242271
236,2003-02-01,233478
235,2003-03-01,264532
234,2003-04-01,265990
233,2003-05-01,281482
232,2003-06-01,271242
231,2003-07-01,279323
230,2003-08-01,285212
229,2003-09-01,265331
228,2003-10-01,273781
227,2003-11-01,272396
226,2003-12-01,327693
225,2004-01-01,252818
224,2004-02-01,253689
223,2004-03-01,287944
222,2004-04-01,284325
221,2004-05-01,296253
220,2004-06-01,289664
219,2004-07-01,294875
218,2004-08-01,294133
217,2004-09-01,282974
216,2004-10-01,287468
215,2004-11-01,294278
214,2004-12-01,354627
213,2005-01-01,263469
212,2005-02-01,265320
211,2005-03-01,306384
210,2005-04-01,302054
209,2005-05-01,311292
208,2005-06-01,317375
207,2005-07-01,316887
206,2005-08-01,321409
205,2005-09-01,300439
204,2005-10-01,302213
203,2005-11-01,311715
202,2005-12-01,370726
201,2006-01-01,286152
200,2006-02-01,282417
199,2006-03-01,326153
198,2006-04-01,316526
197,2006-05-01,337393
196,2006-06-01,330844
195,2006-07-01,325905
194,2006-08-01,339155
193,2006-09-01,310775
192,2006-10-01,312976
191,2006-11-01,323089
190,2006-12-01,380188
189,2007-01-01,295284
188,2007-02-01,290065
187,2007-03-01,335917
186,2007-04-01,321981
185,2007-05-01,353201
184,2007-06-01,338189
183,2007-07-01,333815
182,2007-08-01,349191
181,2007-09-01,317145
180,2007-10-01,331073
179,2007-11-01,341848
178,2007-12-01,387473
177,2008-01-01,307576
176,2008-02-01,308171
175,2008-03-01,334416
174,2008-04-01,331002
173,2008-05-01,357277
172,2008-06-01,339791
171,2008-07-01,344158
170,2008-08-01,342443
169,2008-09-01,313308
168,2008-10-01,311422
167,2008-11-01,299238
166,2008-12-01,346513
165,2009-01-01,273998
164,2009-02-01,264465
163,2009-03-01,290068
162,2009-04-01,292041
161,2009-05-01,307481
160,2009-06-01,306050
159,2009-07-01,308847
158,2009-08-01,314505
157,2009-09-01,288071
156,2009-10-01,300360
155,2009-11-01,303850
154,2009-12-01,362735
153,2010-01-01,279044
152,2010-02-01,275566
151,2010-03-01,321305
150,2010-04-01,316940
149,2010-05-01,324820
148,2010-06-01,319183
147,2010-07-01,320915
146,2010-08-01,322319
145,2010-09-01,307638
144,2010-10-01,315059
143,2010-11-01,328381
142,2010-12-01,386878
141,2011-01-01,298626
140,2011-02-01,299920
139,2011-03-01,345052
138,2011-04-01,339014
137,2011-05-01,348979
136,2011-06-01,346620
135,2011-07-01,341381
134,2011-08-01,352224
133,2011-09-01,333642
132,2011-10-01,337067
131,2011-11-01,351517
130,2011-12-01,408910
129,2012-01-01,315540
128,2012-02-01,331470
127,2012-03-01,368502
126,2012-04-01,349194
125,2012-05-01,373129
124,2012-06-01,356083
123,2012-07-01,351520
122,2012-08-01,372986
121,2012-09-01,342582
120,2012-10-01,355823
119,2012-11-01,368593
118,2012-12-01,416807
117,2013-01-01,333695
116,2013-02-01,332486
115,2013-03-01,374171
114,2013-04-01,362964
113,2013-05-01,389681
112,2013-06-01,369316
111,2013-07-01,376974
110,2013-08-01,388227
109,2013-09-01,352680
108,2013-10-01,369773
107,2013-11-01,378686
106,2013-12-01,430585
105,2014-01-01,340476
104,2014-02-01,337481
103,2014-03-01,383567
102,2014-04-01,383816
101,2014-05-01,408288
100,2014-06-01,385482
99,2014-07-01,394700
98,2014-08-01,401450
97,2014-09-01,374401
96,2014-10-01,388391
95,2014-11-01,391502
94,2014-12-01,451097
93,2015-01-01,350304
92,2015-02-01,341856
91,2015-03-01,393110
90,2015-04-01,387375
89,2015-05-01,409482
88,2015-06-01,397821
87,2015-07-01,406554
86,2015-08-01,404920
85,2015-09-01,381992
84,2015-10-01,392604
83,2015-11-01,396058
82,2015-12-01,464035
81,2016-01-01,351772
80,2016-02-01,363527
79,2016-03-01,404996
78,2016-04-01,394743
77,2016-05-01,413036
76,2016-06-01,410071
75,2016-07-01,405965
74,2016-08-01,416489
73,2016-09-01,394200
72,2016-10-01,397394
71,2016-11-01,413901
70,2016-12-01,482002
69,2017-01-01,369081
68,2017-02-01,365592
67,2017-03-01,423002
66,2017-04-01,407240
65,2017-05-01,434506
64,2017-06-01,423066
63,2017-07-01,416906
62,2017-08-01,431804
61,2017-09-01,412546
60,2017-10-01,417773
59,2017-11-01,441933
58,2017-12-01,496765
57,2018-01-01,389740
56,2018-02-01,380598
55,2018-03-01,444925
54,2018-04-01,420209
53,2018-05-01,464271
52,2018-06-01,443732
51,2018-07-01,441832
50,2018-08-01,456445
49,2018-09-01,417510
48,2018-10-01,442256
47,2018-11-01,460034
46,2018-12-01,493873
45,2019-01-01,399359
44,2019-02-01,384977
43,2019-03-01,447160
42,2019-04-01,442704
41,2019-05-01,475656
40,2019-06-01,448224
39,2019-07-01,461642
38,2019-08-01,472891
37,2019-09-01,428334
36,2019-10-01,455035
35,2019-11-01,467311
34,2019-12-01,518979
33,2020-01-01,416285
32,2020-02-01,413203
31,2020-03-01,428285
30,2020-04-01,375242
29,2020-05-01,460253
28,2020-06-01,478667
27,2020-07-01,492259
26,2020-08-01,487134
25,2020-09-01,474284
24,2020-10-01,494134
23,2020-11-01,491813
22,2020-12-01,558834
21,2021-01-01,462558
20,2021-02-01,438933
19,2021-03-01,565764
18,2021-04-01,557874
17,2021-05-01,567461
16,2021-06-01,560679
15,2021-07-01,554845
14,2021-08-01,553822
13,2021-09-01,532840
12,2021-10-01,557737
11,2021-11-01,579687
10,2021-12-01,632849
9,2022-01-01,518146
8,2022-02-01,506400
7,2022-03-01,597077
6,2022-04-01,594426
5,2022-05-01,614474
4,2022-06-01,609933
3,2022-07-01,600746
2,2022-08-01,613416
1,2022-09-01,576853
0,2022-10-01,597492
